whats_included,name,url,contact_phone,price,value,discount,contact_address,small_print,contact_name,bought,contact_map,contact_website,why_we_love_it,description
,,http://www.travelzoo.com/uk/uk-hotels-breaks/london/-79-95pp-Elvis-at-The-O2-Exhibition-amp-4-Star-London-Stay-1930792/,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1902008&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fwww.trivago.co.uk%2f%253fiSemThemeId%253d30524%2526iGeoDistanceItem%253d1975073%2526cip%253d44030140040105%3fev_transid%3d57971.3531106%26ev_placements%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1923060&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fwww.booking.com%2fsearchresults.html%253faid%253d385459%2526city%253d-2601889%2526checkin_monthday%253d22%2526checkin_year_month%253d2014-07%2526checkout_monthday%253d23%2526checkout_year_month%253d2014-07%2526do_availability_check%253d1%2526label%253dufi-M2601889%2526utm_source%253dtravelzoo%2526utm_medium%253dSPPC%2526utm_content%253dnetwork%2526utm_term%253dufi-M2601889%2526utm_campaign%253duk%3fev_transid%3d57971.3977216%26ev_placements%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1902013&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fwww.trivago.co.uk%2f%253fiSemThemeId%253d30524%2526iGeoDistanceItem%253d1969865%2526cip%253d44030140040108%3fev_transid%3d57971.0184969%26ev_placements%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1918185&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fhotels.fly.com%2fHotels%2fSearch%253fdestination%253dplace%25253aLondon%2526resultID%253d0%2526checkin%253d2015-02-27%2526checkout%253d2015-02-28%2526Rooms%253d1%2526adults_1%253d2%2526languageCode%253dEN%2525C2%2525A4cyCode%253dGBP%2523destination%253dplace%253aLondon%2526radius%253d0mi%2526checkin%253d2015-02-27%2526checkout%253d2015-02-28%2526Rooms%253d1%2526adults_1%253d2%2526pageSize%253d15%2526pageIndex%253d0%2526sort%253dPopularity-desc%2526showSoldOut%253dfalse%2526star5%253dtrue%2526star4%253dtrue%2526scroll%253d200%2526mapState%253dexpanded%25253D0%2526label%253dtzoo_tl%2526utm_source%253dtzuk%2526utm_medium%253daffiliate%2526utm_campaign%253dtl_hotel%2526label%253dtzoo_tl%2526utm_content%253dLondon%3fev_transid%3d57971.0964954%26ev_placements2%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1901968&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fwww.trivago.co.uk%2f%253fiSemThemeId%253d30524%2526iPathId%253d490249%2526cip%253d44030140040102%3fev_transid%3d57971.4311101%26ev_placements%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1952152&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fwww.hotelrusselllondon.co.uk%2foffers%2fexclusive-london-offer-15%2f%253futm_source%253dTravelZoo%2526utm_medium%253dMedia%2526utm_campaign%253dDirect2%3fev_transid%3d57971.6183089%26ev_placements3%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1950606&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fadfarm.mediaplex.com%2fad%2fck%2f11156-87425-20558-1%253fmpro%253dhttp%253a%2f%2fwww.superbreak.com%2fforless%2ffree-london-attractions%2flondon-285%253futm_source%253dtravelzoo%2526utm_medium%253dtravelzoo%2526utm_campaign%253dtravelzoo_premium_londonforless%3fev_transid%3d57972.0496547%26ev_placements3%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1950559&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fadfarm.mediaplex.com%2fad%2fck%2f11156-87425-20558-1%253fmpro%253dhttp%253a%2f%2fwww.superbreak.com%2fhotels%2fholiday_inn_london_commercial_road_2_nt_offer_1st_nt_dinner-hotel-632.htm%253futm_source%253dtravelzoo%2526utm_medium%253dtravelzoo%2526utm_campaign%253dtravelzoo_text_632%3fev_transid%3d57971.6807085%26ev_placements3%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/Interstitial.aspx?adid=1931184&dl=True&l=http%3a%2f%2fpixel1290.everesttech.net%2f1290%2fpr%2furl%3dhttp%253a%2f%2fwww.trivago.co.uk%2f%253fiSemThemeId%253d30524%2526iPathId%253d38715%2526cip%253d44030140040101%3fev_transid%3d57971.6629199%26ev_placements%3d1,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/entertainment/-119pp-Lion-King-West-End-Ticket-Grosvenor-Hotel-Stay-1956159/?tz_adid=1957209,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/hotel-booking/2191?adid=1949300,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/entertainment/-89-95pp-Deluxe-London-Stay-View-from-The-Shard-Ticket-1924182/?tz_adid=1950801,,,,,,,,,,,,
,,http://www.travelzoo.com/uk/hotel-booking/1412/?adid=1942605,,,,,,,,,,,,
